NORAD_CAT_ID,OBJECT_NAME,TLE_LINE1,TLE_LINE2,EPOCH
67620,STARLINK-36607,1 67620C 26020D   26210.07340278  .00039652  00000+0  14371-2 0  2101,2 67620  43.0023  60.9721 0001470 273.2123 329.2476 15.27538670    10,2026-07-29 04:38:21
67621,STARLINK-36615,1 67621C 26020E   26210.07548611  .00061937  00000+0  22448-2 0  2108,2 67621  43.0010  61.6375 0001438 276.0442  54.8929 15.27526170    15,2026-07-29 04:38:21
67622,STARLINK-36614,1 67622C 26020F   26210.07756944  .00053781  00000+0  19488-2 0  2107,2 67622  43.0020  61.3824 0001727 277.3030 171.1962 15.27537291    17,2026-07-29 04:38:21
67623,STARLINK-36600,1 67623C 26020G   26210.06576389  .00032634  00000+0  11826-2 0  2102,2 67623  43.0006  61.5414 0001651 281.3763  66.7578 15.27545028    12,2026-07-29 04:38:21
67624,STARLINK-36439,1 67624C 26020H   26210.07895833  .00069322  00000+0  25124-2 0  2102,2 67624  43.0039  61.2427 0001857 264.8238 247.9421 15.27522908    13,2026-07-29 04:38:21
67625,STARLINK-36438,1 67625C 26020J   26210.07548611  .00049638  00000+0  17990-2 0  2102,2 67625  43.0024  61.3620 0001598 274.6522 176.5463 15.27533797    12,2026-07-29 04:38:21
67626,STARLINK-36436,1 67626C 26020K   26210.06784722  .00044084  00000+0  15976-2 0  2109,2 67626  43.0037  61.1085 0001661 269.6123 259.8070 15.27537106    19,2026-07-29 04:38:21
67627,STARLINK-36502,1 67627C 26020L   26210.08868056  .00057445  00000+0  20819-2 0  2102,2 67627  43.0038  61.1387 0001474 275.0846 312.4286 15.27530066    14,2026-07-29 04:38:21
67628,STARLINK-36532,1 67628C 26020M   26210.07131944  .00062385  00000+0  22611-2 0  2102,2 67628  43.0035  61.1520 0001846 271.8015 248.4402 15.27524832    18,2026-07-29 04:38:21
67629,STARLINK-36367,1 67629C 26020N   26210.08312500  .00067006  00000+0  24280-2 0  2102,2 67629  43.0034  61.0056 0001633 281.0363 339.5475 15.27531453    13,2026-07-29 04:38:21
67630,STARLINK-36416,1 67630C 26020P   26210.08590278  .02338900  00000+0  60667-1 0  2108,2 67630  43.0006  61.1415 0001881 284.7047 290.1132 15.37005584    12,2026-07-29 04:38:21
67631,STARLINK-36527,1 67631C 26020Q   26210.11298611  .00057063  00000+0  20681-2 0  2108,2 67631  43.0016  61.5217 0001352 272.1439 229.8756 15.27530277    19,2026-07-29 04:38:21
67632,STARLINK-36633,1 67632C 26020R   26210.11368056  .00012203  00000+0  44253-3 0  2109,2 67632  43.0007  61.3286 0001349 262.3727 321.3933 15.27531211    15,2026-07-29 04:38:21
67633,STARLINK-36637,1 67633C 26020S   26210.07131944  .00054115  00000+0  19612-2 0  2107,2 67633  43.0036  61.3137 0001752 273.0882 183.4721 15.27532129    13,2026-07-29 04:38:21
67634,STARLINK-36617,1 67634C 26020T   26210.10743056  .00060977  00000+0  22094-2 0  2106,2 67634  43.0017  61.5872 0001384 284.3120 172.9538 15.27536084    15,2026-07-29 04:38:21
67635,STARLINK-36627,1 67635C 26020U   26210.09215278  .00058678  00000+0  21265-2 0  2109,2 67635  43.0037  61.0946 0001484 275.9300 337.7809 15.27531222    13,2026-07-29 04:38:21
